timestamps,open,high,low,close,volume,amount
2025/1/23 15:00,5.65,5.724,5.58,5.584,4192641.25,2375722.731
2025/1/24 15:00,5.569,5.663,5.568,5.652,5009240.71,2819548.146
2025/1/27 15:00,5.659,5.675,5.582,5.585,4883960.6,2744942.03
2025/2/5 15:00,5.638,5.643,5.582,5.608,2639927.75,1480763.405
2025/2/6 15:00,5.598,5.749,5.59,5.74,4672606.96,2663508.308
2025/2/7 15:00,5.744,5.896,5.734,5.831,4842323.27,2818592.532
2025/2/10 15:00,5.843,5.891,5.83,5.882,4069189.21,2387778.587
2025/2/11 15:00,5.881,5.899,5.819,5.859,2711552.96,1585641.173
2025/2/12 15:00,5.839,5.943,5.839,5.936,2615957.54,1541475.241
2025/2/13 15:00,5.934,5.955,5.886,5.907,2836254.67,1678707.512
2025/2/14 15:00,5.891,5.962,5.886,5.953,3231129.21,1916674.593
2025/2/17 15:00,5.973,5.982,5.9,5.944,3692692.04,2194014.236
2025/2/18 15:00,5.923,5.947,5.81,5.844,3047851.1,1795712.483
2025/2/19 15:00,5.833,5.945,5.83,5.937,3187797.19,1884120.477
2025/2/20 15:00,5.935,5.975,5.914,5.952,3821241.86,2270456.53
2025/2/21 15:00,5.967,6.068,5.939,6.054,3384487.05,2037072.442
2025/2/24 15:00,6.048,6.07,5.999,6.036,4034274.52,2436370.003
2025/2/25 15:00,5.987,6.035,5.955,5.973,2809775.91,1681769.102
2025/2/26 15:00,5.987,6.056,5.965,6.045,3356210.96,2018403.953
2025/2/27 15:00,6.034,6.058,5.939,6.029,3013501.52,1805331.282
2025/2/28 15:00,5.991,6,5.847,5.867,3140820.54,1860658.637
2025/3/3 15:00,5.867,5.964,5.851,5.877,2773489.61,1636751.973
2025/3/4 15:00,5.839,5.944,5.832,5.929,2026357.22,1196761.452
2025/3/5 15:00,5.932,5.954,5.881,5.944,2454551.1,1451561.058
2025/3/6 15:00,5.97,6.065,5.966,6.039,4029339.5,2427285.085
2025/3/7 15:00,6.021,6.06,5.987,6.013,3157095.62,1902207.429
2025/3/10 15:00,6.008,6.031,5.961,6.006,3345878.08,2005008.698
2025/3/11 15:00,5.946,6.039,5.943,6.036,1617294.77,971469.704
2025/3/12 15:00,6.049,6.098,6.031,6.04,2047492.08,1240478.759
2025/3/13 15:00,6.03,6.048,5.94,5.989,2125909.85,1272302.671
2025/3/14 15:00,5.992,6.1,5.972,6.098,4824885.18,2926419.789
2025/3/17 15:00,6.11,6.121,6.087,6.1,3835627.15,2340981.399
2025/3/18 15:00,6.112,6.166,6.108,6.126,1786536.36,1095806.443
2025/3/19 15:00,6.115,6.126,6.068,6.102,1508335.11,919429.405
2025/3/20 15:00,6.099,6.105,6.055,6.06,2623955.78,1594149.941
2025/3/21 15:00,6.033,6.066,5.95,5.968,2455736.84,1474689.686
2025/3/24 15:00,5.97,5.979,5.883,5.961,2315640.47,1374750.333
2025/3/25 15:00,5.957,5.984,5.921,5.941,1978020.28,1177150.085
2025/3/26 15:00,5.933,5.983,5.933,5.941,1918078.36,1142262.402
2025/3/27 15:00,5.937,6,5.884,5.956,2122544.92,1263097.664
2025/3/28 15:00,5.953,5.972,5.897,5.909,1995541.99,1183363.151
2025/3/31 15:00,5.881,5.908,5.796,5.854,1817963.33,1063186.183
2025/4/1 15:00,5.864,5.93,5.859,5.886,1740931.33,1026747.613
